0,1
31,BIM and CAD technicians
31,Cartographers
31,"CAD, drawing and architectural technicians n.e.c."
31,Games testers
31,Network and systems administrators
31,Quality assurance testers
31,Software technicians
31,IT operations technicians n.e.c.
31,IT user support technicians
31,Database administrators
31,Web content technicians
31,Database administrators and web content technicians n.e.c.
32,Dispensing opticians
32,Pharmaceutical technicians
32,Cardiac technicians
32,Dental hygienists
32,Dental technicians
32,Hearing aid dispensers
32,Hearing screeners
32,Nursing associates
32,Orthotic and prosthetic technicians
32,Medical and dental technicians n.e.c.
32,Alexander technique teachers
32,Aromatherapists
32,Homeopaths (excludes medically qualified)
32,Hospital play specialists
32,Hypnotherapists
32,Massage therapists
32,Reflexologists
32,Reiki healers
32,Complementary health associate professionals n.e.c.
32,Antenatal teachers
32,Dietetic assistants
32,Equine dentists
32,Foot health practitioners (excludes podiatrists)
32,Health trainers
32,Home economists
32,Health associate professionals n.e.c.
32,Community workers
32,Family support workers
32,Youth workers (excludes youth work professionals)
32,Youth and community workers n.e.c.
32,Child protection officers
32,Learning and behaviour mentors
32,Welfare and attendance officers
32,Child and early years officers n.e.c.
32,Housing officers
32,Bereavement counsellors
32,Debt advisers
32,Life coaches
32,Relationship counsellors
32,Substance misuse workers
32,Counsellors n.e.c.
32,Advocates (excludes solicitor advocates)
32,Celebrants
32,Charity workers
32,Day care officers
32,Health advisers
32,Homelessness officers and support workers
32,Mental health project workers
32,Probation service workers
32,Student support workers
32,Victim support workers
32,Welfare and housing associate professionals n.e.c.
32,Higher level teaching assistants
32,Early education and childcare practitioners
32,Veterinary nurses
33,Non-commissioned Army officers and others ranks
33,Non-commissioned Royal Air Force officers and other ranks
33,Non-commissioned Royal Navy officers and other ranks
33,Royal Marines Commandos
33,Non-commissioned officers and other ranks n.e.c.
33,Police constable
33,Police sergeant
33,Police officers (sergeant and below) n.e.c.
33,Firefighters
33,Fire service crew managers
33,Watch managers
33,Fire service officers (watch manager and below) n.e.c.
33,Operational support grades
33,Prison officers
33,Prison service officers (below principal officer) n.e.c.
33,Coastguard
33,Customs and border control officers
33,Fraud investigators (excludes benefit fraud)
33,Immigration officers
33,Private investigators
33,Security consultants and managers (excludes cyber security)
33,Protective service associate professionals n.e.c.
34,Art technicians (excludes education)
34,Drawing and painting artists
34,Hand drawn animators
34,Illustrators (excludes medical and scientific)
34,Medical and scientific illustrators
34,Picture restorers
34,Sculptors
34,Tattoo and henna artists
34,Artists n.e.c.
34,Authors
34,Bloggers
34,Copywriters
34,Literary editors
34,Poets
34,Script writers
34,Technical writers (excludes computing)
34,Translators and interpreters
34,"Authors, writers and translators n.e.c."
34,Actors
34,"Broadcasters, podcasters and presenters"
34,Children's entertainers
34,Comedians
34,Disc jockeys
34,Magicians
34,Models
34,Singers
34,Social media influencers
34,"Actors, entertainers and presenters n.e.c."
34,Choreographers
34,Dance teachers (excludes educational establishments)
34,Dancers
34,Composers and musical arrangers
34,Music conductors
34,Instrumentalists
34,Musicians n.e.c.
34,Art consultants
34,Broadcasting and entertainment directors
34,Broadcasting and entertainment editors
34,Broadcasting and entertainment producers
34,Studio and stage managers
34,"Arts officers, producers and directors n.e.c."
